time,day,area,year,air_temp
3,33,srimangal,1982,289.4423725
6,33,srimangal,1982,286.6891765
9,33,srimangal,1982,289.7249603
12,33,srimangal,1982,296.1649455
15,33,srimangal,1982,299.2008235
18,33,srimangal,1982,297.054179
21,33,srimangal,1982,294.0183401
0,34,srimangal,1982,291.871699
3,34,srimangal,1982,288.8358762
6,34,srimangal,1982,285.0990482
9,34,srimangal,1982,288.6080356
12,34,srimangal,1982,296.0518555
15,34,srimangal,1982,299.5609518
18,34,srimangal,1982,297.0796985
21,34,srimangal,1982,293.5706473
0,35,srimangal,1982,291.0893978
3,35,srimangal,1982,287.5803653
6,35,srimangal,1982,285.7391028
9,35,srimangal,1982,289.0466753
12,35,srimangal,1982,296.063222
15,35,srimangal,1982,299.3708972
18,35,srimangal,1982,297.0320672
21,35,srimangal,1982,293.7244345
0,36,srimangal,1982,291.3856081
3,36,srimangal,1982,288.077993
6,36,srimangal,1982,288.5893213
9,36,srimangal,1982,291.0912342
12,36,srimangal,1982,296.3986881
15,36,srimangal,1982,298.9006787
18,36,srimangal,1982,297.1315416
21,36,srimangal,1982,294.6295832
0,37,srimangal,1982,292.8604489
3,37,srimangal,1982,290.3585039
6,37,srimangal,1982,287.359162
9,37,srimangal,1982,290.4483329
12,37,srimangal,1982,297.0015712
15,37,srimangal,1982,300.090838
18,37,srimangal,1982,297.9064428
21,37,srimangal,1982,294.8172158
0,38,srimangal,1982,292.632824
3,38,srimangal,1982,289.5436134
6,38,srimangal,1982,284.4589705
9,38,srimangal,1982,288.2543068
12,38,srimangal,1982,296.3055754
15,38,srimangal,1982,300.1010295
18,38,srimangal,1982,297.417295
21,38,srimangal,1982,293.6218896
0,39,srimangal,1982,290.9381592
3,39,srimangal,1982,287.142774
6,39,srimangal,1982,283.4089112
9,39,srimangal,1982,287.4226493
12,39,srimangal,1982,295.9372261
15,39,srimangal,1982,299.9510888
18,39,srimangal,1982,297.1129193
21,39,srimangal,1982,293.0991083
0,40,srimangal,1982,290.2609433
3,40,srimangal,1982,286.2471536
6,40,srimangal,1982,284.3690343
9,40,srimangal,1982,287.9289822
12,40,srimangal,1982,295.4809073
15,40,srimangal,1982,299.0409657
18,40,srimangal,1982,296.5236776
21,40,srimangal,1982,292.963665
0,41,srimangal,1982,290.4463808
3,41,srimangal,1982,286.8863872
6,41,srimangal,1982,284.0689112
9,41,srimangal,1982,288.0826493
12,41,srimangal,1982,296.5972261
15,41,srimangal,1982,300.6110888
18,41,srimangal,1982,297.7729193
21,41,srimangal,1982,293.7591083
0,42,srimangal,1982,290.9209433
3,42,srimangal,1982,286.9071536
6,42,srimangal,1982,284.408904
9,42,srimangal,1982,288.4493356
12,42,srimangal,1982,297.020539
15,42,srimangal,1982,301.061096
18,42,srimangal,1982,298.2040512
21,42,srimangal,1982,294.1635461
0,43,srimangal,1982,291.3065058
3,43,srimangal,1982,287.2660222
6,43,srimangal,1982,284.7688961
9,43,srimangal,1982,288.8384479
12,43,srimangal,1982,297.4714258
15,43,srimangal,1982,301.5411039
18,43,srimangal,1982,298.6634678
21,43,srimangal,1982,294.593842
0,44,srimangal,1982,291.7162103
3,44,srimangal,1982,287.6466062
6,44,srimangal,1982,286.0791996
9,44,srimangal,1982,289.0300493
12,44,srimangal,1982,295.2898591
15,44,srimangal,1982,298.2408004
18,44,srimangal,1982,296.154214
21,44,srimangal,1982,293.2033106
0,45,srimangal,1982,291.1167274
3,45,srimangal,1982,288.1658397
6,45,srimangal,1982,289.4191482
9,45,srimangal,1982,292.5592794
12,45,srimangal,1982,299.2206231
15,45,srimangal,1982,302.3608518
18,45,srimangal,1982,300.1404218
21,45,srimangal,1982,297.0002335
0,46,srimangal,1982,294.7798069
3,46,srimangal,1982,291.6396353
6,46,srimangal,1982,288.6590679
9,46,srimangal,1982,292.0952548
12,46,srimangal,1982,299.3846386
15,46,srimangal,1982,302.8209321
18,46,srimangal,1982,300.3911571
21,46,srimangal,1982,296.9549077
0,47,srimangal,1982,294.5251365
3,47,srimangal,1982,291.0889054
6,47,srimangal,1982,287.2790356
9,47,srimangal,1982,290.8341301
12,47,srimangal,1982,298.3757595
15,47,srimangal,1982,301.9309644
18,47,srimangal,1982,299.4171081
21,47,srimangal,1982,295.861949
0,48,srimangal,1982,293.3480967
3,48,srimangal,1982,289.7929565
6,48,srimangal,1982,288.4589757
9,48,srimangal,1982,292.2348986
12,48,srimangal,1982,300.2449842
15,48,srimangal,1982,304.0210243
18,48,srimangal,1982,301.3510172
21,48,srimangal,1982,297.5750257
0,49,srimangal,1982,294.9050228
3,49,srimangal,1982,291.1290514
6,49,srimangal,1982,290.3293174
9,49,srimangal,1982,292.8457904
12,49,srimangal,1982,298.1841315
15,49,srimangal,1982,300.7006826
18,49,srimangal,1982,298.9212499
21,49,srimangal,1982,296.4047311
0,50,srimangal,1982,294.6253012
3,50,srimangal,1982,292.1087958
6,50,srimangal,1982,290.0189968
9,50,srimangal,1982,293.7172657
12,50,srimangal,1982,301.5626195
15,50,srimangal,1982,305.2610032
18,50,srimangal,1982,302.6459063
21,50,srimangal,1982,298.9475702
0,51,srimangal,1982,296.3324774
3,51,srimangal,1982,292.6341609
6,51,srimangal,1982,289.499058
9,51,srimangal,1982,292.9716452
12,51,srimangal,1982,300.338247
15,51,srimangal,1982,303.810942
18,51,srimangal,1982,301.3554278
21,51,srimangal,1982,297.8827775
0,52,srimangal,1982,295.4272671
3,52,srimangal,1982,291.9546353
6,52,srimangal,1982,289.6790297
9,52,srimangal,1982,293.2559644
12,52,srimangal,1982,300.8439246
15,52,srimangal,1982,304.4209703
18,52,srimangal,1982,301.8916706
21,52,srimangal,1982,298.3146709
0,53,srimangal,1982,295.7853751
3,53,srimangal,1982,292.2083945
6,53,srimangal,1982,289.5890179
9,53,srimangal,1982,293.2096329
12,53,srimangal,1982,300.8902548
15,53,srimangal,1982,304.5109821
18,53,srimangal,1982,301.9507954
21,53,srimangal,1982,298.3301146
0,54,srimangal,1982,295.7699319
3,54,srimangal,1982,292.1492704
6,54,srimangal,1982,290.2091067
9,54,srimangal,1982,293.5021192
12,54,srimangal,1982,300.4877786
15,54,srimangal,1982,303.7808933
18,54,srimangal,1982,301.4523589
21,54,srimangal,1982,298.1592866
0,55,srimangal,1982,295.8307558
3,55,srimangal,1982,292.537701
6,55,srimangal,1982,289.6991008
9,55,srimangal,1982,293.0139534
12,55,srimangal,1982,300.0459437
15,55,srimangal,1982,303.3608992
18,55,srimangal,1982,301.0169213
21,55,srimangal,1982,297.7020084
0,56,srimangal,1982,295.3580342
3,56,srimangal,1982,292.043139
6,56,srimangal,1982,287.5189303
9,56,srimangal,1982,291.4622945
12,56,srimangal,1982,299.8275831
15,56,srimangal,1982,303.7710697
18,56,srimangal,1982,300.9826626
21,56,srimangal,1982,297.0392267
0,57,srimangal,1982,294.250824
3,57,srimangal,1982,290.3074091
6,57,srimangal,1982,287.5489277
9,57,srimangal,1982,291.5019986
12,57,srimangal,1982,299.8878787
15,57,srimangal,1982,303.8410723
18,57,srimangal,1982,301.0458015
21,57,srimangal,1982,297.0926587
0,58,srimangal,1982,294.2973922
3,58,srimangal,1982,290.3442704
6,58,srimangal,1982,287.4188316
9,58,srimangal,1982,291.7261986
12,58,srimangal,1982,300.8636677
15,58,srimangal,1982,305.1711684
18,58,srimangal,1982,302.1253699
21,58,srimangal,1982,297.8179246
0,59,srimangal,1982,294.7721308
3,59,srimangal,1982,290.4647084
6,59,srimangal,1982,289.7489777
9,59,srimangal,1982,293.5176205
12,59,srimangal,1982,301.5122625
15,59,srimangal,1982,305.2810223
18,59,srimangal,1982,302.6161631
21,59,srimangal,1982,298.8474517
0,60,srimangal,1982,296.1825967
3,60,srimangal,1982,292.4139054
6,60,srimangal,1982,289.9989646
9,60,srimangal,1982,293.8161411
12,60,srimangal,1982,301.9137404
15,60,srimangal,1982,305.7310354
18,60,srimangal,1982,303.0318574
21,60,srimangal,1982,299.2146115
0,61,srimangal,1982,296.5154376
3,61,srimangal,1982,292.698212
6,61,srimangal,1982,290.7690607
9,61,srimangal,1982,294.2319411
12,61,srimangal,1982,301.5779514
15,61,srimangal,1982,305.0409393
18,61,srimangal,1982,302.5922889
21,61,srimangal,1982,299.1293456
0,62,srimangal,1982,296.680699
3,62,srimangal,1982,293.217774
6,62,srimangal,1982,289.6592509
9,62,srimangal,1982,292.4208192
12,62,srimangal,1982,298.2790951
